t,thrust,mass
0,0,0.01275
0.001,0.13215,0.01275
0.002,0.2643,0.01275
0.003,0.39644,0.01275
0.004,0.52859,0.01275
0.005,0.52924,0.01275
0.006,0.52989,0.01275
0.007,0.53053,0.01275
0.008,0.53118,0.01275
0.009,0.53183,0.01275
0.01,0.53248,0.01274
0.011,0.53312,0.01274
0.012,0.53377,0.01274
0.013,0.53442,0.01274
0.014,0.53507,0.01274
0.015,0.53572,0.01274
0.016,0.53637,0.01274
0.017,0.53702,0.01274
0.018,0.53767,0.01274
0.019,0.53832,0.01273
0.02,0.53897,0.01273
0.021,0.53962,0.01273
0.022,0.54027,0.01273
0.023,0.54092,0.01273
0.024,0.54157,0.01273
0.025,0.54222,0.01273
0.026,0.54287,0.01272
0.027,0.54353,0.01272
0.028,0.54418,0.01272
0.029,0.54483,0.01272
0.03,0.54548,0.01272
0.031,0.54613,0.01271
0.032,0.54679,0.01271
0.033,0.54744,0.01271
0.034,0.5481,0.01271
0.035,0.54875,0.01271
0.036,0.5494,0.01271
0.037,0.55006,0.01271
0.038,0.55071,0.0127
0.039,0.55137,0.0127
0.04,0.55202,0.0127
0.041,0.55268,0.0127
0.042,0.55333,0.0127
0.043,0.55399,0.0127
0.044,0.55465,0.0127
0.045,0.5553,0.0127
0.046,0.55596,0.0127
0.047,0.55661,0.01269
0.048,0.55727,0.01269
0.049,0.55793,0.01269
0.05,0.55859,0.01268
0.051,0.55924,0.01268
0.052,0.5599,0.01268
0.053,0.56056,0.01268
0.054,0.56122,0.01268
0.055,0.56188,0.01268
0.056,0.56254,0.01268
0.057,0.5632,0.01268
0.058,0.56386,0.01268
0.059,0.56452,0.01267
0.06,0.56518,0.01267
0.061,0.56584,0.01267
0.062,0.5665,0.01266
0.063,0.56716,0.01266
0.064,0.56781,0.01266
0.065,0.56848,0.01266
0.066,0.56914,0.01266
0.067,0.5698,0.01266
0.068,0.57046,0.01266
0.069,0.57112,0.01266
0.07,0.57179,0.01266
0.071,0.57245,0.01265
0.072,0.57311,0.01265
0.073,0.57378,0.01265
0.074,0.57444,0.01265
0.075,0.5751,0.01265
0.076,0.57576,0.01265
0.077,0.57643,0.01265
0.078,0.57709,0.01264
0.079,0.57776,0.01264
0.08,0.57842,0.01264
0.081,0.57909,0.01264
0.082,0.57976,0.01264
0.083,0.58042,0.01263
0.084,0.58108,0.01263
0.085,0.58175,0.01263
0.086,0.58242,0.01263
0.087,0.58308,0.01263
0.088,0.58375,0.01263
0.089,0.58442,0.01263
0.09,0.58509,0.01262
0.091,0.58575,0.01262
0.092,0.58642,0.01262
0.093,0.58709,0.01262
0.094,0.58776,0.01262
0.095,0.58843,0.01262
0.096,0.5891,0.01262
0.097,0.58976,0.01262
0.098,0.59043,0.01262
0.099,0.5911,0.01261
0.1,0.59177,0.01261
0.101,0.59244,0.01261
0.102,0.59311,0.0126
0.103,0.59378,0.0126
0.104,0.59445,0.0126
0.105,0.59512,0.0126
0.106,0.5958,0.0126
0.107,0.59647,0.0126
0.108,0.59714,0.0126
0.109,0.59781,0.0126
0.11,0.59848,0.0126
0.111,0.59916,0.01259
0.112,0.59983,0.01259
0.113,0.6005,0.01259
0.114,0.60118,0.01259
0.115,0.60185,0.01259
0.116,0.60252,0.01259
