t,theta_r,theta
0.0417,0.0017453292519942303,0.0017453292519942303
0.0458,0.0017453292519942303,0.0017453292519942303
0.05,0.0017453292519942303,0.0017453292519942303
0.0542,0.0034906585039887086,0.0034906585039887086
0.0583,0.012217304763960357,0.012217304763960357
0.0625,0.017453292519943295,0.017453292519943295
0.0667,0.019198621771937527,0.019198621771937527
0.0708,0.022689280275926236,0.022689280275926236
0.075,0.022689280275926236,0.022689280275926236
0.0792,0.022689280275926236,0.022689280275926236
0.0833,0.026179938779914945,0.026179938779914945
0.0875,0.027925268031909173,0.027925268031909173
0.0917,0.031415926535897885,0.031415926535897885
0.0958,0.03490658503988659,0.03490658503988659
0.1,0.0383972435438753,0.0383972435438753
0.104,0.0383972435438753,0.0383972435438753
0.108,0.04188790204786401,0.04188790204786401
0.113,0.04363323129985824,0.04363323129985824
0.117,0.04363323129985824,0.04363323129985824
0.121,0.04886921905584118,0.04886921905584118
0.125,0.04886921905584118,0.04886921905584118
0.129,0.04886921905584118,0.04886921905584118
0.133,0.050614548307835655,0.050614548307835655
0.138,0.05759586531581282,0.05759586531581282
0.142,0.061086523819801536,0.061086523819801536
0.146,0.06806784082777895,0.06806784082777895
0.15,0.0767944870877506,0.0767944870877506
0.154,0.08028514559173906,0.08028514559173906
0.158,0.08203047484373353,0.08203047484373353
0.163,0.08377580409572777,0.08377580409572777
0.167,0.08552113334772225,0.08552113334772225
0.171,0.09599310885968812,0.09599310885968812
0.175,0.09948376736367684,0.09948376736367684
0.179,0.10471975511965978,0.10471975511965978
0.183,0.10297442586766554,0.10297442586766554
0.188,0.106465084371654,0.106465084371654
0.192,0.11344640137963143,0.11344640137963143
0.196,0.11693705988362013,0.11693705988362013
0.2,0.12391837689159729,0.12391837689159729
0.204,0.1308996938995747,0.1308996938995747
0.208,0.13962634015954636,0.13962634015954636
0.213,0.14311699866353508,0.14311699866353508
0.217,0.15009831567151224,0.15009831567151224
0.221,0.15707963267948966,0.15707963267948966
0.225,0.16406094968746707,0.16406094968746707
0.229,0.16580627893946132,0.16580627893946132
0.233,0.16929693744345,0.16929693744345
0.238,0.17453292519943295,0.17453292519943295
0.242,0.19198621771937624,0.19198621771937624
0.246,0.19198621771937624,0.19198621771937624
0.25,0.19198621771937624,0.19198621771937624
0.254,0.19198621771937624,0.19198621771937624
0.258,0.20943951023931956,0.20943951023931956
0.263,0.20943951023931956,0.20943951023931956
0.267,0.20943951023931956,0.20943951023931956
0.271,0.22689280275926285,0.22689280275926285
0.275,0.22689280275926285,0.22689280275926285
0.279,0.24434609527920614,0.24434609527920614
0.283,0.24434609527920614,0.24434609527920614
0.288,0.24434609527920614,0.24434609527920614
0.292,0.2617993877991494,0.2617993877991494
0.296,0.2617993877991494,0.2617993877991494
0.3,0.2792526803190927,0.2792526803190927
0.304,0.29670597283903605,0.29670597283903605
0.308,0.29670597283903605,0.29670597283903605
0.313,0.29670597283903605,0.29670597283903605
0.317,0.3141592653589793,0.3141592653589793
0.321,0.3141592653589793,0.3141592653589793
0.325,0.33161255787892263,0.33161255787892263
0.329,0.33161255787892263,0.33161255787892263
0.333,0.3490658503988659,0.3490658503988659
0.338,0.3490658503988659,0.3490658503988659
0.342,0.3665191429188092,0.3665191429188092
0.346,0.3665191429188092,0.3665191429188092
0.35,0.3839724354387525,0.3839724354387525
0.354,0.4014257279586958,0.4014257279586958
0.358,0.3839724354387525,0.3839724354387525
0.363,0.4014257279586958,0.4014257279586958
0.367,0.4014257279586958,0.4014257279586958
0.371,0.4188790204786391,0.4188790204786391
0.375,0.4363323129985824,0.4363323129985824
0.379,0.4363323129985824,0.4363323129985824
0.383,0.4537856055185257,0.4537856055185257
0.388,0.47123889803846897,0.47123889803846897
0.392,0.4886921905584123,0.4886921905584123
0.396,0.4886921905584123,0.4886921905584123
0.4,0.5061454830783556,0.5061454830783556
0.404,0.5235987755982988,0.5235987755982988
0.408,0.5410520681182421,0.5410520681182421
0.413,0.5585053606381855,0.5585053606381855
0.417,0.5759586531581288,0.5759586531581288
0.421,0.5934119456780721,0.5934119456780721
0.425,0.6108652381980153,0.6108652381980153
0.429,0.6283185307179586,0.6283185307179586
0.433,0.6457718232379019,0.6457718232379019
0.438,0.6632251157578453,0.6632251157578453
0.442,0.6632251157578453,0.6632251157578453
0.446,0.6806784082777885,0.6806784082777885
0.45,0.6981317007977318,0.6981317007977318
0.454,0.7155849933176751,0.7155849933176751
0.458,0.7330382858376184,0.7330382858376184
0.463,0.7330382858376184,0.7330382858376184
