t,thrust,mass
0,0,0.01275
0.002,1.057185,0.01275
0.004,1.06236,0.01275
0.006,1.067545,0.01274
0.008,1.072735,0.01274
0.01,1.077935,0.01273
0.012,1.08314,0.01273
0.014,1.088355,0.01272
0.016,1.093575,0.01271
0.018,1.098805,0.01271
0.02,1.104045,0.0127
0.022,1.10929,0.0127
0.024,1.11454,0.01269
0.026,1.119805,0.01268
0.028,1.12507,0.01268
0.03,1.13035,0.01267
0.032,1.13563,0.01266
0.034,1.140925,0.01266
0.036,1.146225,0.01265
0.038,1.15153,0.01265
0.04,1.15685,0.01264
0.042,1.16217,0.01263
0.044,1.1675,0.01263
0.046,1.17284,0.01262
0.048,1.17819,0.01262
0.05,1.183545,0.01261
0.052,1.188905,0.0126
0.054,1.194275,0.0126
0.056,1.199655,0.01259
0.058,1.205045,0.01259
0.06,1.210435,0.01258
0.062,1.21584,0.01257
0.064,1.22125,0.01257
0.066,1.22667,0.01256
0.068,1.232095,0.01255
0.07,1.23753,0.01255
0.072,1.24297,0.01254
0.074,1.248425,0.01254
0.076,1.25388,0.01253
0.078,1.25935,0.01252
0.08,1.264825,0.01252
0.082,1.270305,0.01251
0.084,1.275795,0.0125
0.086,1.281295,0.0125
0.088,1.2868,0.01249
0.09,1.292315,0.01248
0.092,1.29784,0.01248
0.094,1.30337,0.01247
0.096,1.30891,0.01247
0.098,1.31446,0.01246
0.1,1.320015,0.01245
0.102,1.325575,0.01245
0.104,1.33115,0.01244
0.106,1.33673,0.01243
0.108,1.342315,0.01243
0.11,1.347915,0.01242
0.112,1.35352,0.01241
0.114,1.35913,0.01241
0.116,1.36475,0.0124
0.118,1.37038,0.0124
0.12,1.37602,0.01239
0.122,1.381665,0.01238
0.124,1.38732,0.01238
0.126,1.39298,0.01237
0.128,1.39865,0.01236
0.13,1.40433,0.01236
0.132,1.410015,0.01235
0.134,1.415715,0.01234
0.136,1.421415,0.01234
0.138,1.42713,0.01233
0.14,1.43285,0.01232
0.142,1.43858,0.01232
0.144,1.444315,0.01231
0.146,1.45006,0.0123
0.148,1.455815,0.0123
0.15,1.461575,0.01229
0.152,1.467345,0.01228
0.154,1.473125,0.01228
0.156,1.478915,0.01227
0.158,1.48471,0.01226
0.16,1.490515,0.01226
0.162,1.496325,0.01225
0.164,1.502145,0.01224
0.166,1.507975,0.01224
0.168,1.513815,0.01223
0.17,1.51966,0.01222
0.172,1.525515,0.01222
0.174,1.53138,0.01221
0.176,1.53725,0.0122
0.178,1.54313,0.0122
0.18,1.54902,0.01219
0.182,1.55492,0.01218
0.184,1.560825,0.01218
0.186,1.56674,0.01217
0.188,1.57266,0.01216
0.19,1.578595,0.01216
0.192,1.584535,0.01215
0.194,1.590485,0.01214
0.196,1.59644,0.01214
0.198,1.602405,0.01213
0.2,1.60838,0.01212
0.202,1.614365,0.01212
0.204,1.620355,0.01211
0.206,1.62636,0.0121
0.208,1.632365,0.01209
0.21,1.638385,0.01209
0.212,1.64441,0.01208
0.214,1.650445,0.01207
0.216,1.65649,0.01207
0.218,1.662545,0.01206
0.22,1.668605,0.01205
0.222,1.674675,0.01205
0.224,1.680755,0.01204
0.226,1.68684,0.01203
0.228,1.69294,0.01203
0.23,1.699045,0.01202
0.232,1.70516,0.01201
0.234,1.71128,0.012
0.236,1.71741,0.012
0.238,1.72355,0.01199
0.24,1.7297,0.01198
0.242,1.73586,0.01198
0.244,1.742025,0.01197
0.246,1.7482,0.01196
0.248,1.754385,0.01195
0.25,1.76058,0.01195
0.252,1.76678,0.01194
0.254,1.77299,0.01193
0.256,1.77921,0.01193
0.258,1.78544,0.01192
0.26,1.79168,0.01191
0.262,1.797925,0.0119
0.264,1.80418,0.0119
0.266,1.810445,0.01189
0.268,1.81672,0.01188
0.27,1.823,0.01188
0.272,1.82929,0.01187
0.274,1.835595,0.01186
0.276,1.8419,0.01185
0.278,1.84822,0.01185
0.28,1.854545,0.01184
0.282,1.860885,0.01183
0.284,1.86723,0.01182
0.286,1.873585,0.01182
0.288,1.879945,0.01181
0.29,1.88632,0.0118
0.292,1.8927,0.0118
0.294,1.89909,0.01179
0.296,1.90549,0.01178
0.298,1.9119,0.01177
0.3,1.918315,0.01177
0.302,1.92474,0.01176
0.304,1.93118,0.01175
0.306,1.937625,0.01174
0.308,1.944075,0.01174
0.31,1.95054,0.01173
0.312,1.957015,0.01172
0.314,1.963495,0.01171
0.316,1.969985,0.01171
0.318,1.976485,0.0117
0.32,1.982995,0.01169
0.322,1.98951,0.01168
0.324,1.99604,0.01168
0.326,2.002575,0.01167
0.328,2.00912,0.01166
0.33,2.015675,0.01165
0.332,2.02224,0.01165
0.334,2.028815,0.01164
0.336,2.035395,0.01163
0.338,2.04199,0.01162
0.34,2.04859,0.01162
0.342,2.0552,0.01161
0.344,2.06182,0.0116
0.346,2.06845,0.01159
0.348,2.075085,0.01159
0.35,2.081735,0.01158
0.352,2.08839,0.01157
0.354,2.09506,0.01156
0.356,2.101735,0.01156
0.358,2.10842,0.01155
0.36,2.115115,0.01154
0.362,2.121815,0.01153
0.364,2.12853,0.01152
0.366,2.13525,0.01152
0.368,2.141985,0.01151
0.37,2.148725,0.0115
0.372,2.155475,0.01149
0.374,2.162235,0.01149
0.376,2.169005,0.01148
0.378,2.175785,0.01147
0.38,2.182575,0.01146
0.382,2.18937,0.01145
0.384,2.19618,0.01145
0.386,2.202995,0.01144
0.388,2.20982,0.01143
0.39,2.216655,0.01142
0.392,2.2235,0.01142
0.394,2.230355,0.01141
0.396,2.23722,0.0114
0.398,2.244095,0.01139
0.4,2.250975,0.01138
0.402,2.25787,0.01138
0.404,2.26477,0.01137
0.406,2.271685,0.01136
0.408,2.278605,0.01135
0.41,2.285535,0.01134
0.412,2.292475,0.01134
0.414,2.299425,0.01133
0.416,2.306385,0.01132
0.418,2.313355,0.01131
0.42,2.320335,0.0113
0.422,2.327325,0.0113
0.424,2.33432,0.01129
0.426,2.34133,0.01128
0.428,2.348345,0.01127
0.43,2.355375,0.01126
0.432,2.36241,0.01125
0.434,2.36946,0.01125
0.436,2.376515,0.01124
0.438,2.38358,0.01123
0.44,2.390655,0.01122
0.442,2.39774,0.01121
0.444,2.404835,0.01121
0.446,2.41194,0.0112
0.448,2.419055,0.01119
0.45,2.42618,0.01118
0.452,2.43331,0.01117
0.454,2.440455,0.01116
0.456,2.44761,0.01116
0.458,2.45477,0.01115
0.46,2.461945,0.01114
0.462,2.46913,0.01113
0.464,2.47632,0.01112
0.466,2.483525,0.01112
0.468,2.490735,0.01111
0.47,2.497955,0.0111
0.472,2.50519,0.01109
0.474,2.51243,0.01108
0.476,2.51968,0.01107
0.478,2.526945,0.01107
0.48,2.534215,0.01106
0.482,2.541495,0.01105
0.484,2.548785,0.01104
0.486,2.556085,0.01103
0.488,2.563395,0.01102
0.49,2.570715,0.01101
0.492,2.578045,0.01101
0.494,2.58539,0.011
0.496,2.59274,0.01099
0.498,2.6001,0.01098
0.5,2.60747,0.01097
0.502,2.61485,0.01096
0.504,2.62224,0.01095
