t,thrust,mass
0,0,0.01275
0.001,0.23493,0.01275
0.002,0.46986,0.01275
0.003,0.70479,0.01275
0.004,0.70594,0.01275
0.005,0.70709,0.01275
0.006,0.70824,0.01275
0.007,0.70939,0.01275
0.008,0.71054,0.01274
0.009,0.7117,0.01274
0.01,0.71285,0.01274
0.011,0.714,0.01274
0.012,0.71516,0.01274
0.013,0.71631,0.01274
0.014,0.71747,0.01273
0.015,0.71862,0.01273
0.016,0.71978,0.01273
0.017,0.72094,0.01273
0.018,0.72209,0.01273
0.019,0.72325,0.01273
0.02,0.72441,0.01272
0.021,0.72557,0.01272
0.022,0.72673,0.01272
0.023,0.72789,0.01271
0.024,0.72905,0.01271
0.025,0.73021,0.01271
0.026,0.73137,0.01271
0.027,0.73254,0.01271
0.028,0.7337,0.01271
0.029,0.73487,0.0127
0.03,0.73603,0.0127
0.031,0.7372,0.0127
0.032,0.73836,0.0127
0.033,0.73953,0.0127
0.034,0.74069,0.0127
0.035,0.74186,0.01269
0.036,0.74303,0.01269
0.037,0.7442,0.01269
0.038,0.74537,0.01268
0.039,0.74654,0.01268
0.04,0.74771,0.01268
0.041,0.74888,0.01268
0.042,0.75005,0.01268
0.043,0.75122,0.01268
0.044,0.75239,0.01267
0.045,0.75357,0.01267
0.046,0.75474,0.01267
0.047,0.75591,0.01266
0.048,0.75709,0.01266
0.049,0.75826,0.01266
0.05,0.75944,0.01266
0.051,0.76062,0.01266
0.052,0.76179,0.01266
0.053,0.76297,0.01265
0.054,0.76415,0.01265
0.055,0.76533,0.01265
0.056,0.76651,0.01265
0.057,0.76769,0.01265
0.058,0.76887,0.01265
0.059,0.77005,0.01264
0.06,0.77123,0.01264
0.061,0.77242,0.01264
0.062,0.7736,0.01263
0.063,0.77478,0.01263
0.064,0.77596,0.01263
0.065,0.77715,0.01263
0.066,0.77833,0.01263
0.067,0.77952,0.01263
0.068,0.78071,0.01262
0.069,0.78189,0.01262
0.07,0.78308,0.01262
0.071,0.78427,0.01262
0.072,0.78546,0.01262
0.073,0.78665,0.01262
0.074,0.78784,0.01261
0.075,0.78903,0.01261
0.076,0.79022,0.01261
0.077,0.79141,0.0126
0.078,0.7926,0.0126
0.079,0.7938,0.0126
0.08,0.79499,0.0126
0.081,0.79618,0.0126
0.082,0.79738,0.0126
0.083,0.79857,0.01259
0.084,0.79977,0.01259
0.085,0.80097,0.01259
0.086,0.80217,0.01259
0.087,0.80336,0.01259
0.088,0.80456,0.01259
0.089,0.80576,0.01258
0.09,0.80696,0.01258
0.091,0.80816,0.01258
0.092,0.80936,0.01257
0.093,0.81056,0.01257
0.094,0.81176,0.01257
0.095,0.81296,0.01257
0.096,0.81417,0.01257
0.097,0.81537,0.01257
0.098,0.81658,0.01256
0.099,0.81778,0.01256
0.1,0.81899,0.01256
0.101,0.82019,0.01255
0.102,0.8214,0.01255
0.103,0.8226,0.01255
0.104,0.82381,0.01255
0.105,0.82502,0.01255
0.106,0.82623,0.01255
0.107,0.82744,0.01254
0.108,0.82865,0.01254
0.109,0.82986,0.01254
0.11,0.83107,0.01254
0.111,0.83228,0.01254
0.112,0.8335,0.01254
0.113,0.83471,0.01253
0.114,0.83592,0.01253
0.115,0.83714,0.01253
0.116,0.83835,0.01252
0.117,0.83957,0.01252
0.118,0.84078,0.01252
0.119,0.842,0.01252
0.12,0.84322,0.01252
0.121,0.84443,0.01252
0.122,0.84565,0.01251
0.123,0.84687,0.01251
0.124,0.84809,0.01251
0.125,0.84931,0.0125
0.126,0.85053,0.0125
0.127,0.85175,0.0125
0.128,0.85297,0.0125
0.129,0.8542,0.0125
0.13,0.85542,0.0125
0.131,0.85664,0.01249
0.132,0.85787,0.01249
0.133,0.85909,0.01249
0.134,0.86032,0.01248
0.135,0.86154,0.01248
0.136,0.86277,0.01248
0.137,0.864,0.01248
0.138,0.86523,0.01248
0.139,0.86646,0.01248
0.14,0.86768,0.01247
0.141,0.86891,0.01247
0.142,0.87014,0.01247
0.143,0.87138,0.01247
0.144,0.87261,0.01247
0.145,0.87384,0.01247
0.146,0.87507,0.01246
0.147,0.87631,0.01246
0.148,0.87754,0.01246
0.149,0.87878,0.01245
0.15,0.88001,0.01245
0.151,0.88125,0.01245
0.152,0.88248,0.01245
0.153,0.88372,0.01245
0.154,0.88496,0.01245
0.155,0.88619,0.01244
0.156,0.88743,0.01244
0.157,0.88867,0.01244
0.158,0.88991,0.01243
0.159,0.89115,0.01243
0.16,0.89239,0.01243
0.161,0.89364,0.01243
0.162,0.89488,0.01243
0.163,0.89612,0.01243
0.164,0.89737,0.01242
0.165,0.89861,0.01242
0.166,0.89986,0.01242
0.167,0.9011,0.01241
0.168,0.90235,0.01241
0.169,0.90359,0.01241
0.17,0.90484,0.01241
0.171,0.90609,0.01241
0.172,0.90734,0.01241
0.173,0.90858,0.0124
0.174,0.90983,0.0124
0.175,0.91108,0.0124
0.176,0.91234,0.0124
0.177,0.91359,0.0124
0.178,0.91484,0.0124
0.179,0.91609,0.01239
0.18,0.91735,0.01239
0.181,0.9186,0.01239
0.182,0.91986,0.01238
